Iteration	Y	var_1
1.0	-0.8212000131607056	0.2
2.0	-0.8192999958992004	0.28408723298798777
3.0	-0.8295000195503235	0.06971683455553335
4.0	-0.8245999813079834	0.00958260693420099
5.0	-0.8291000127792358	0.08718647073295391
6.0	-0.1386999934911728	0.9981928829654918
7.0	-0.8047999739646912	0.4562724672960919
8.0	-0.8166000247001648	0.3731875227900783
9.0	-0.7964000105857849	0.6275711843528622
10.0	-0.7990000247955322	0.5566824315406256
11.0	-0.8230000138282776	0.13616161562146512
12.0	-0.8303999900817871	0.051146799126340466
13.0	-0.8327000141143799	0.055005614831763125
14.0	-0.8253999948501587	0.05507374435121286
15.0	-0.828499972820282	0.06243419819101315
16.0	-0.8281000256538391	0.06212083337033776
17.0	-0.8306000232696533	0.061909079981508436
18.0	-0.8281000256538391	0.06181978539855211
19.0	-0.8309999704360962	0.06173498946145258
20.0	-0.8284000158309937	0.061672298399691024
21.0	-0.8299000263214111	0.061625128067992994
22.0	-0.8281999826431274	0.06153050621571079
23.0	-0.829200029373169	0.06154748638608407
24.0	-0.8281999826431274	0.061492070570139695
25.0	-0.8242999911308289	0.06152197773239285
26.0	-0.8306999802589417	0.06207495005108347
27.0	-0.8294000029563904	0.062162869653913565
28.0	-0.8303999900817871	0.062134149734353335
29.0	-0.8302000164985657	0.062187856922853994
30.0	-0.8281000256538391	0.06222643922834151
31.0	-0.8313000202178955	0.062118460680653576
