Iteration	Y	var_1
1.0	-0.8307999968528748	50.0
2.0	-0.8266000151634216	125.0
3.0	-0.8252000212669373	300.0
4.0	-0.8282999992370605	800.0
5.0	-0.8267999887466431	25.0
6.0	-0.8277000188827515	175.0
7.0	-0.8295999765396118	900.0
8.0	-0.8271999955177307	150.0
9.0	-0.8269000053405762	200.0
10.0	-0.8321999907493591	400.0
11.0	-0.8266000151634216	700.0
12.0	-0.8274999856948853	600.0
13.0	-0.8241999745368958	400.0
14.0	-0.8289999961853027	50.0
15.0	-0.8287000060081482	50.0
