Iteration	Y	var_1
1.0	-0.8166000247001648	0.05
2.0	-0.819599986076355	0.22295322014984656
3.0	-0.8230999708175659	0.7302610621041392
4.0	-0.8129000067710876	0.7302124420023011
5.0	-0.8097000122070312	0.42409622806698105
6.0	-0.8230000138282776	0.9899485238754447
7.0	-0.8151000142097473	0.989883750795787
8.0	-0.8151000142097473	0.9877558766420605
9.0	-0.8130000233650208	0.9894352442051265
10.0	-0.7925000190734863	0.9893985234073046
11.0	-0.819599986076355	0.0010412057259057972
12.0	-0.8222000002861023	0.0035207957027277737
13.0	-0.8126000165939331	0.0020559116967686876
14.0	-0.8202999830245972	0.0047417151702038975
15.0	-0.8141000270843506	0.0020661435288230577
16.0	-0.8101999759674072	0.0014686547190810614
17.0	-0.8141999840736389	0.0010378261065324538
18.0	-0.8173999786376953	0.0011666914466822934
19.0	-0.8205000162124634	0.003016043090817027
20.0	-0.8009999990463257	0.0011453173018471782
21.0	-0.8120999932289124	0.001526110850238062
22.0	-0.8197000026702881	0.0015033271671151627
23.0	-0.819599986076355	0.0023248359796230597
24.0	-0.8152999877929688	0.0011553624890630815
25.0	-0.8122000098228455	0.005220222042089632
26.0	-0.7932000160217285	0.020412567611931724
27.0	-0.8203999996185303	0.1531839018660049
28.0	-0.8122000098228455	0.25537902126824785
29.0	-0.8112000226974487	0.16552774530341066
30.0	-0.8198000192642212	0.06778671470742398
31.0	-0.8206999897956848	0.05838178643589197
