Iteration	Y	var_1
1.0	-0.8260999917984009	0.01
2.0	-0.8238999843597412	0.019317686901256525
3.0	-0.8227999806404114	0.017413070395804253
4.0	-0.8222000002861023	0.09502263319197937
5.0	-0.8230999708175659	0.08238481847537403
6.0	-0.8299999833106995	0.025871780340931093
7.0	-0.819599986076355	0.05144788759301288
8.0	-0.8216999769210815	0.09354033484119809
9.0	-0.8230000138282776	0.102095321224148
10.0	-0.822700023651123	0.02846169535101699
11.0	-0.8255000114440918	0.025420134654236964
12.0	-0.826200008392334	0.02592146806587939
13.0	-0.832099974155426	0.02593499905728705
14.0	-0.8260999917984009	0.025933815000225745
15.0	-0.8267999887466431	0.025971269390277333
16.0	-0.8273000121116638	0.025997820343685068
17.0	-0.8281000256538391	0.02601750029931508
18.0	-0.8245999813079834	0.026062394336234994
19.0	-0.828000009059906	0.025884895229080707
20.0	-0.8252000212669373	0.025841733901479567
21.0	-0.8242999911308289	0.02586625719717393
22.0	-0.8251000046730042	0.025886710386679394
23.0	-0.8292999863624573	0.025855963182610766
24.0	-0.8281000256538391	0.025713179211687195
25.0	-0.8233000040054321	0.025355157235644205
26.0	-0.8274999856948853	0.02589651970247399
27.0	-0.8260999917984009	0.02589748066848179
28.0	-0.8295000195503235	0.026212982530124385
29.0	-0.8223000168800354	0.026432525448857328
30.0	-0.8267999887466431	0.02593708084599783
31.0	-0.8245000243186951	0.025937011751506426
